frequency,impedance
1.3239999999999643,(-300.21163140106785+2067.1729074942996j)
1.3249999999999642,(-299.98519832645354+2065.611059616419j)
1.325999999999964,(-299.7591069073544+2064.051566005304j)
1.326999999999964,(-299.53335637142703+2062.4944213381777j)
1.3279999999999639,(-299.30794594865387+2060.9396203082993j)
1.3289999999999638,(-299.0828748713352+2059.3871576248957j)
1.3299999999999637,(-298.85814237408005+2057.837028013108j)
1.3309999999999635,(-298.63374769379766+2056.289226213928j)
1.3319999999999634,(-298.409690069689+2054.7437469841398j)
1.3329999999999633,(-298.1859687432383+2053.200585096263j)
1.3339999999999632,(-297.9625829582039+2051.65973533849j)
1.334999999999963,(-297.73953196061007+2050.1211925146254j)
1.335999999999963,(-297.51681499873877+2048.584951444037j)
1.3369999999999629,(-297.2944313231209+2047.0510069615864j)
1.3379999999999628,(-297.07238018652765+2045.51935391758j)
1.3389999999999627,(-296.8506608439632+2043.9899871777056j)
1.3399999999999626,(-296.6292725526548+2042.4629016229767j)
1.3409999999999624,(-296.4082145720463+2040.9380921496765j)
1.3419999999999623,(-296.1874861637875+2039.4155536692986j)
1.3429999999999622,(-295.9670865917289+2037.895281108495j)
1.3439999999999621,(-295.7470151219109+2036.3772694090121j)
1.344999999999962,(-295.52727102255744+2034.8615135276434j)
1.345999999999962,(-295.3078535640666+2033.3480084361663j)
1.3469999999999618,(-295.08876201900335+2031.8367491212905j)
1.3479999999999617,(-294.8699956620914+2030.327730584603j)
1.3489999999999616,(-294.6515537702048+2028.8209478425085j)
1.3499999999999615,(-294.4334356223606+2027.3163959261803j)
1.3509999999999613,(-294.21564049971+2025.8140698815007j)
1.3519999999999612,(-293.9981676855317+2024.3139647690105j)
1.3529999999999611,(-293.7810164652228+2022.8160756638526j)
1.353999999999961,(-293.56418612629193+2021.3203976557168j)
1.354999999999961,(-293.34767595835086+2019.8269258487924j)
1.3559999999999608,(-293.1314852531068+2018.3356553617054j)
1.3569999999999607,(-292.91561330435553+2016.8465813274724j)
1.3579999999999606,(-292.70005940797176+2015.3596988934455j)
1.3589999999999605,(-292.4848228619042+2013.87500322126j)
1.3599999999999604,(-292.26990296616515+2012.392489486778j)
1.3609999999999602,(-292.055299022825+2010.9121528800429j)
1.3619999999999601,(-291.84101033600405+2009.4339886052244j)
1.36299999999996,(-291.62703621186427+2007.957991880564j)
1.36399999999996,(-291.41337595860256+2006.4841579383237j)
1.3649999999999598,(-291.20002888644325+2005.0124820247404j)
1.3659999999999597,(-290.9869943076306+2003.5429593999716j)
1.3669999999999596,(-290.7742715364213+2002.0755853380385j)
1.3679999999999595,(-290.5618598890773+2000.6103551267856j)
1.3689999999999594,(-290.3497586838582+1999.1472640678244j)
1.3699999999999593,(-290.13796724101405+1997.686307476479j)
1.3709999999999591,(-289.9264848827784+1996.2274806817486j)
1.371999999999959,(-289.71531093336097+1994.7707790262452j)
1.372999999999959,(-289.5044447189397+1993.3161978661494j)
1.3739999999999588,(-289.29388556765497+1991.863732571163j)
1.3749999999999587,(-289.0836328096013+1990.4133785244546j)
1.3759999999999586,(-288.87368577682076+1988.9651311226153j)
1.3769999999999585,(-288.6640438032956+1987.5189857756056j)
1.3779999999999584,(-288.4547062249421+1986.0749379067142j)
1.3789999999999583,(-288.24567237960173+1984.6329829524993j)
1.3799999999999581,(-288.0369416070361+1983.1931163627503j)
1.380999999999958,(-287.8285132489194+1981.7553336004335j)
1.381999999999958,(-287.62038664883045+1980.3196301416472j)
1.3829999999999578,(-287.41256115224735+1978.886001475574j)
1.3839999999999577,(-287.2050361065398+1977.454443104432j)
1.3849999999999576,(-286.99781086096215+1976.0249505434306j)
1.3859999999999575,(-286.7908847666474+1974.5975193207219j)
1.3869999999999574,(-286.58425717659924+1973.1721449773513j)
1.3879999999999573,(-286.3779274456862+1971.7488230672168j)
1.3889999999999572,(-286.171894930635+1970.32754915702j)
1.389999999999957,(-285.96615899002296+1968.908318826218j)
1.390999999999957,(-285.76071898427256+1967.4911276669798j)
1.3919999999999568,(-285.55557427564366+1966.0759712841405j)
1.3929999999999567,(-285.3507242282278+1964.6628452951554j)
1.3939999999999566,(-285.1461682079411+1963.2517453300559j)
1.3949999999999565,(-284.94190558251785+1961.8426670314013j)
1.3959999999999564,(-284.73793572150424+1960.4356060542384j)
1.3969999999999563,(-284.5342579962515+1959.0305580660518j)
1.3979999999999562,(-284.33087177990984+1957.6275187467254j)
1.398999999999956,(-284.1277764474216+1956.2264837884934j)
1.399999999999956,(-283.9249713755149+1954.8274488958948j)
1.4009999999999558,(-283.72245594269765+1953.4304097857355j)
1.4019999999999557,(-283.5202295292511+1952.0353621870415j)
1.4029999999999556,(-283.3182915172229+1950.6423018410114j)
1.4039999999999555,(-283.116641290422+1949.2512245009825j)
1.4049999999999554,(-282.91527823441095+1947.8621259323759j)
1.4059999999999553,(-282.71420173650097+1946.4750019126639j)
1.4069999999999552,(-282.51341118574453+1945.0898482313203j)
1.407999999999955,(-282.3129059729308+1943.706660689782j)
1.408999999999955,(-282.1126854905772+1942.3254351014018j)
1.4099999999999548,(-281.91274913292574+1940.9461672914147j)
1.4109999999999547,(-281.71309629593515+1939.5688530968846j)
1.4119999999999546,(-281.5137263772751+1938.1934883666709j)
1.4129999999999545,(-281.31463877632075+1936.820068961382j)
1.4139999999999544,(-281.11583289414676+1935.448590753339j)
1.4149999999999543,(-280.91730813352024+1934.0790496265276j)
1.4159999999999542,(-280.7190638988959+1932.7114414765624j)
1.416999999999954,(-280.52109959640956+1931.345762210643j)
1.417999999999954,(-280.32341463387183+1929.982007747513j)
1.4189999999999539,(-280.12600842076347+1928.6201740174222j)
1.4199999999999537,(-279.92888036822825+1927.2602569620833j)
1.4209999999999536,(-279.73202988906763+1925.9022525346309j)
1.4219999999999535,(-279.5354563977352+1924.5461566995862j)
1.4229999999999534,(-279.3391593103296+1923.1919654328087j)
1.4239999999999533,(-279.1431380445911+1921.8396747214672j)
1.4249999999999532,(-278.94739201989313+1920.4892805639881j)
1.425999999999953,(-278.7519206572387+1919.1407789700274j)
1.426999999999953,(-278.55672337925307+1917.7941659604228j)
1.4279999999999529,(-278.3617996101801+1916.4494375671597j)
